Date,Event_ID,Winner,Loser,W_KD,L_KD,W_STR,L_STR,W_TD,L_TD,W_SUB,L_SUB,Weight class,Method,Round,Time,W/L
"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018",620be7e0712d431b,Adam Wieczorek,Arjan Bhullar,0,0,13,9,0,2,1,0,Heavyweight,SUB  Omoplata,2.0,1:59,win
"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018",620be7e0712d431b,Alejandro Perez,Matthew Lopez,0,0,44,22,0,3,0,2,Bantamweight,KO/TKO  Punches,2.0,3:42,win
"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018",620be7e0712d431b,Luke Sanders,Patrick Williams,1,0,59,61,0,1,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Khabib Nurmagomedov,Al Iaquinta,0,0,134,41,6,0,1,0,Lightweight,U-DEC,5.0,5:00,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Renato Moicano,Calvin Kattar,0,0,116,41,0,0,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Zabit Magomedsharipov,Kyle Bochniak,0,0,97,43,5,0,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Chris Gruetzemacher,Joe Lauzon,0,0,128,48,0,0,0,0,Lightweight,KO/TKO,2.0,5:00,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Olivier Aubin-Mercier,Evan Dunham,1,0,13,4,0,0,0,0,Lightweight,KO/TKO  Knees,1.0,0:53,win
"UFC 223: Khabib vs. Iaquinta  April 07, 2018",49e7e05f902479ca,Devin Clark,Mike Rodriguez,0,0,50,40,7,0,0,0,Light Heavyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Alexander Volkov,Fabricio Werdum,1,0,48,48,2,3,0,0,Heavyweight,KO/TKO  Punch,4.0,1:38,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Jan Blachowicz,Jimi Manuwa,1,0,97,37,1,0,0,0,Light Heavyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Tom Duquesnoy,Terrion Ware,0,0,67,85,0,2,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Leon Edwards,Peter Sobotta,1,0,42,16,1,1,0,0,Welterweight,KO/TKO  Punch,3.0,4:59,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Charles Byrd,John Phillips,0,0,11,0,1,0,1,0,Middleweight,SUB  Rear Naked Choke,1.0,3:58,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Danny Roberts,Oliver Enkamp,1,0,4,7,0,0,0,0,Welterweight,KO/TKO  Punch,1.0,2:12,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Danny Henry,Hakeem Dawodu,1,0,2,3,0,0,1,0,Featherweight,SUB  Guillotine Choke,1.0,0:39,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Paul Craig,Magomed Ankalaev,0,0,18,59,2,0,1,0,Light Heavyweight,SUB  Triangle Choke,3.0,4:59,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Kajan Johnson,Stevie Ray,0,0,33,24,2,3,0,1,Lightweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Werdum vs. Volkov  March 17, 2018",eed2b71d77d95416,Dmitry Sosnovskiy,Mark Godbeer,0,0,28,24,2,0,2,0,Heavyweight,SUB  Rear Naked Choke,2.0,4:29,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Brian Ortega,Frankie Edgar,1,0,25,27,0,0,0,0,Featherweight,KO/TKO  Punch,1.0,4:44,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Sean O'Malley,Andre Soukhamthath,0,0,63,25,0,4,3,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Andrei Arlovski,Stefan Struve,0,0,46,34,4,0,0,0,Heavyweight,U-DEC,3.0,5:00,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Alexander Hernandez,Beneil Dariush,1,0,8,4,0,0,0,0,Lightweight,KO/TKO  Punch,1.0,0:42,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,John Dodson,Pedro Munhoz,0,0,76,69,0,1,0,0,Bantamweight,S-DEC,3.0,5:00,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,CB Dollaway,Hector Lombard,0,1,13,19,0,0,0,0,Middleweight,DQ,1.0,5:00,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Zak Ottow,Mike Pyle,1,0,22,4,0,0,0,0,Welterweight,KO/TKO  Punches,1.0,2:34,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Cody Stamann,Bryan Caraway,0,0,95,59,0,1,0,0,Bantamweight,S-DEC,3.0,5:00,win
"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018",7929be8290289a47,Jordan Johnson,Adam Milstead,0,0,59,58,2,0,0,0,Light Heavyweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Jeremy Stephens,Josh Emmett,1,1,24,18,0,0,0,0,Featherweight,KO/TKO  Punch,2.0,1:35,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Ilir Latifi,Ovince Saint Preux,1,0,25,7,0,0,1,0,Light Heavyweight,SUB  Guillotine Choke,1.0,3:48,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Max Griffin,Mike Perry,1,0,78,45,0,1,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Brian Kelleher,Renan Barao,0,0,94,116,1,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Alan Jouban,Ben Saunders,2,0,78,33,0,0,0,0,Welterweight,KO/TKO  Punch,2.0,2:38,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Sam Alvey,Marcin Prachnio,2,0,10,15,1,0,0,0,Light Heavyweight,KO/TKO  Punch,1.0,4:23,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Rani Yahya,Russell Doane,0,0,17,2,2,1,2,0,Bantamweight,SUB  Arm Triangle,3.0,2:32,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Alex Perez,Eric Shelton,0,0,29,41,5,0,0,0,Flyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Emmett vs. Stephens  February 24, 2018",daa89f01e1c0f42a,Manny Bermudez,Albert Morales,0,0,12,19,1,1,3,0,Bantamweight,SUB  Guillotine Choke,2.0,2:33,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Donald Cerrone,Yancy Medeiros,3,0,28,25,0,0,0,0,Welterweight,KO/TKO  Punch,1.0,4:58,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Derrick Lewis,Marcin Tybura,2,0,30,37,1,1,0,1,Heavyweight,KO/TKO  Punch,3.0,2:48,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,James Vick,Francisco Trinaldo,1,0,68,26,1,3,0,1,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Curtis Millender,Thiago Alves,2,0,47,33,0,1,0,0,Welterweight,KO/TKO  Knee,2.0,4:17,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Brandon Davis,Steven Peterson,0,0,114,73,0,1,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Sage Northcutt,Thibault Gouti,0,0,63,28,1,4,0,1,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Diego Ferreira,Jared Gordon,1,0,29,8,0,0,0,0,Lightweight,KO/TKO  Punch,1.0,1:58,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Geoff Neal,Brian Camozzi,0,0,14,7,0,0,1,0,Welterweight,SUB  Rear Naked Choke,1.0,2:48,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Robert Sanchez,Joby Sanchez,0,0,2,1,3,0,1,0,Flyweight,SUB  Rear Naked Choke,1.0,1:50,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Alex Morono,Joshua Burkman,1,0,7,4,0,0,1,0,Welterweight,SUB  Guillotine Choke,1.0,2:12,win
"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018",d181689653115b6a,Oskar Piechota,Tim Williams,1,0,17,8,0,0,0,0,Middleweight,KO/TKO  Punch,1.0,1:54,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Yoel Romero,Luke Rockhold,1,0,45,45,0,0,0,0,Middleweight,KO/TKO  Punch,3.0,1:48,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Curtis Blaydes,Mark Hunt,0,1,56,14,10,0,0,0,Heavyweight,U-DEC,3.0,5:00,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Tai Tuivasa,Cyril Asker,0,0,38,3,0,0,0,0,Heavyweight,KO/TKO  Elbow,1.0,2:18,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Jake Matthews,Li Jingliang,2,0,63,49,2,0,1,0,Welterweight,U-DEC,3.0,5:00,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Tyson Pedro,Saparbeg Safarov,0,0,12,8,0,2,1,0,Light Heavyweight,SUB  Kimura,1.0,3:54,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Dong Hyun Ma,Damien Brown,0,0,67,46,0,0,0,0,Lightweight,S-DEC,3.0,5:00,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Israel Adesanya,Rob Wilkinson,1,0,52,22,0,3,0,0,Middleweight,KO/TKO  Punches,2.0,3:37,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Alexander Volkanovski,Jeremy Kennedy,0,0,73,8,2,0,0,0,Featherweight,KO/TKO  Punches,2.0,4:57,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Jussier Formiga,Ben Nguyen,1,0,27,21,2,0,1,0,Flyweight,SUB  Rear Naked Choke,3.0,1:43,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Ross Pearson,Mizuto Hirota,0,0,58,77,0,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Jose Quinonez,Teruto Ishihara,0,1,49,33,2,1,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 221: Romero vs. Rockhold  February 10, 2018",15515e797aedc137,Luke Jumeau,Daichi Abe,0,0,63,63,1,0,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Lyoto Machida,Eryk Anders,0,0,62,32,0,3,0,0,Middleweight,S-DEC,5.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Michel Prazeres,Desmond Green,0,0,36,33,3,3,3,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Timothy Johnson,Marcelo Golm,0,0,77,59,0,0,0,0,Heavyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Douglas Silva de Andrade,Marlon Vera,0,0,97,72,1,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Thiago Santos,Anthony Smith,2,0,58,10,0,1,0,0,Middleweight,KO/TKO  Kick,2.0,1:03,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Sergio Moraes,Tim Means,0,1,87,129,0,0,0,0,Welterweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Alan Patrick,Damir Hadzovic,0,0,28,20,9,0,0,1,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Iuri Alcantara,Joe Soto,1,0,17,1,0,0,0,0,Bantamweight,KO/TKO  Punches,1.0,1:06,win
"UFC Fight Night: Machida vs. Anders  February 03, 2018",7cf20446453f852b,Deiveson Figueiredo,Joseph Morales,1,0,31,9,2,0,1,0,Flyweight,KO/TKO  Punches,2.0,4:34,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Jacare Souza,Derek Brunson,1,0,9,8,0,0,0,0,Middleweight,KO/TKO  Kick,1.0,3:50,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Andre Fili,Dennis Bermudez,0,0,80,103,4,1,0,0,Featherweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Gregor Gillespie,Jordan Rinaldi,0,0,34,7,1,0,0,0,Lightweight,KO/TKO  Punches,1.0,4:46,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Drew Dober,Frank Camacho,0,0,145,106,0,3,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Bobby Green,Erik Koch,0,0,110,56,1,1,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Mirsad Bektic,Godofredo Pepey,1,0,12,5,0,0,0,0,Featherweight,KO/TKO  Punch,1.0,2:47,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Vinc Pichel,Joaquim Silva,0,0,60,45,1,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Niko Price,George Sullivan,0,0,24,21,2,1,3,0,Welterweight,SUB  Rear Naked Choke,2.0,4:21,win
"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018",602bb270f2bdbf02,Cory Sandhagen,Austin Arnett,1,0,80,32,1,1,0,0,Featherweight,KO/TKO  Punches,2.0,3:48,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Stipe Miocic,Francis Ngannou,0,0,70,21,6,0,0,1,Heavyweight,U-DEC,5.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Daniel Cormier,Volkan Oezdemir,0,0,32,38,2,0,1,0,Light Heavyweight,KO/TKO  Punches,2.0,2:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Calvin Kattar,Shane Burgos,1,0,85,89,0,0,0,0,Featherweight,KO/TKO  Punch,3.0,0:32,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Gian Villante,Francimar Barroso,0,0,74,74,0,0,0,0,Light Heavyweight,S-DEC,3.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Rob Font,Thomas Almeida,2,0,41,24,1,0,0,0,Bantamweight,KO/TKO  Kick,2.0,2:24,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Kyle Bochniak,Brandon Davis,0,0,33,38,3,1,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Abdul Razak Alhassan,Sabah Homasi,1,0,13,8,0,1,0,0,Welterweight,KO/TKO  Punch,1.0,3:47,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Dustin Ortiz,Alexandre Pantoja,0,0,36,19,7,1,0,2,Flyweight,U-DEC,3.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Julio Arce,Dan Ige,0,0,72,35,0,1,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Enrique Barzola,Matt Bessette,0,0,55,43,5,0,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 220: Miocic vs. Ngannou  January 20, 2018",02177caefe7c07d4,Islam Makhachev,Gleison Tibau,1,0,3,2,0,0,0,0,Lightweight,KO/TKO  Punch,1.0,0:57,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Jeremy Stephens,Dooho Choi,1,0,49,44,0,0,0,0,Featherweight,KO/TKO  Punch,2.0,2:36,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Kamaru Usman,Emil Meek,0,0,50,30,8,0,0,2,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Darren Elkins,Michael Johnson,0,0,18,45,1,0,1,0,Featherweight,SUB  Rear Naked Choke,2.0,2:22,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,James Krause,Alex White,0,0,35,56,3,1,2,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Marco Polo Reyes,Matt Frevola,2,0,18,9,0,0,0,0,Lightweight,KO/TKO  Punch,1.0,1:00,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Kyung Ho Kang,Guido Cannetti,0,0,3,19,1,1,1,0,Bantamweight,SUB  Triangle Choke,1.0,4:53,win
"UFC Fight Night: Stephens vs. Choi  January 14, 2018",fc1868f56d3036eb,Mads Burnell,Mike Santiago,0,0,20,51,3,3,1,2,Featherweight,U-DEC,3.0,5:00,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Khabib Nurmagomedov,Edson Barboza,0,0,89,25,4,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Dan Hooker,Marc Diakiese,0,0,17,24,2,0,1,0,Lightweight,SUB  Guillotine Choke,3.0,0:42,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Neil Magny,Carlos Condit,0,0,32,37,6,0,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Khalil Rountree Jr.,Michal Oleksiejczuk,0,0,52,76,0,2,1,0,Light Heavyweight,Overturned,3.0,5:00,nc  nc
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Myles Jury,Ricky Glenn,0,0,41,14,2,0,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Marvin Vettori,Omari Akhmedov,0,0,66,51,0,0,2,0,Middleweight,M-DEC,3.0,5:00,draw  draw
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Matheus Nicolau,Louis Smolka,3,0,87,49,3,0,2,0,Flyweight,U-DEC,3.0,5:00,win
"UFC 219: Cyborg vs. Holm  December 30, 2017",04076783ca83d6ae,Tim Elliott,Mark De La Rosa,0,0,12,2,1,0,2,0,Bantamweight,SUB  Anaconda Choke,2.0,1:41,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Rafael Dos Anjos,Robbie Lawler,0,0,172,86,2,0,0,0,Welterweight,U-DEC,5.0,5:00,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Josh Emmett,Ricardo Lamas,1,0,10,17,0,0,0,0,Featherweight,KO/TKO  Punch,1.0,4:33,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Santiago Ponzinibbio,Mike Perry,1,0,78,51,3,1,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Glover Teixeira,Misha Cirkunov,0,0,13,21,1,0,1,0,Light Heavyweight,KO/TKO  Punches,1.0,2:45,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Jan Blachowicz,Jared Cannonier,1,0,50,26,4,0,0,0,Light Heavyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Julian Marquez,Darren Stewart,0,0,32,33,0,4,3,0,Middleweight,SUB  Guillotine Choke,2.0,2:42,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Chad Laprise,Galore Bofando,0,1,20,13,1,0,0,0,Welterweight,KO/TKO  Punches,1.0,4:10,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Nordine Taleb,Danny Roberts,1,0,5,1,0,0,0,0,Welterweight,KO/TKO  Kick,1.0,0:59,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,John Makdessi,Abel Trujillo,1,0,47,29,0,1,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Alessio Di Chirico,Oluwale Bamgbose,1,0,6,10,1,0,0,0,Middleweight,KO/TKO  Knee,2.0,2:14,win
"UFC Fight Night: Lawler vs. Dos Anjos  December 16, 2017",eaa0a728cc91ef60,Jordan Mein,Erick Silva,0,0,51,13,3,0,1,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Brian Ortega,Cub Swanson,0,0,24,60,0,0,2,0,Featherweight,SUB  Guillotine Choke,2.0,3:22,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Gabriel Benitez,Jason Knight,0,0,85,36,0,1,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Marlon Moraes,Aljamain Sterling,2,0,7,3,0,0,0,0,Bantamweight,KO/TKO  Knee,1.0,1:07,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Scott Holtzman,Darrell Horcher,0,0,49,36,7,1,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Eryk Anders,Markus Perez,0,0,79,30,2,2,0,1,Middleweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Benito Lopez,Albert Morales,1,0,78,78,0,0,1,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Andre Soukhamthath,Luke Sanders,1,0,20,23,0,0,0,0,Bantamweight,KO/TKO  Punches,2.0,1:06,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Alex Perez,Carls John De Tomas,0,0,24,8,2,0,3,0,Bantamweight,SUB  Anaconda Choke,2.0,1:54,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Frankie Saenz,Merab Dvalishvili,0,0,58,47,0,11,0,0,Bantamweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Alejandro Perez,Iuri Alcantara,0,0,35,38,0,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Davi Ramos,Chris Gruetzemacher,0,0,55,46,5,0,1,0,Lightweight,SUB  Rear Naked Choke,3.0,0:50,win
"UFC Fight Night: Swanson vs. Ortega  December 09, 2017",bcd124bcd3d5be46,Trevin Giles,Antonio Braga Neto,1,0,70,18,0,2,0,0,Middleweight,KO/TKO  Punches,3.0,2:27,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Max Holloway,Jose Aldo,0,0,174,87,0,0,0,0,Featherweight,KO/TKO  Punches,3.0,4:51,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Francis Ngannou,Alistair Overeem,1,0,6,1,0,0,0,0,Heavyweight,KO/TKO  Punch,1.0,1:42,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Henry Cejudo,Sergio Pettis,0,0,36,25,3,0,0,0,Flyweight,U-DEC,3.0,5:00,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Eddie Alvarez,Justin Gaethje,1,0,155,122,1,0,0,0,Lightweight,KO/TKO  Knee,3.0,3:59,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Paul Felder,Charles Oliveira,0,0,31,6,0,2,0,2,Lightweight,KO/TKO  Elbows,2.0,4:06,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Yancy Medeiros,Alex Oliveira,2,2,75,93,1,2,0,0,Welterweight,KO/TKO  Punches,3.0,2:02,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,David Teymur,Drakkar Klose,0,0,52,39,1,2,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Abdul Razak Alhassan,Sabah Homasi,1,0,27,39,1,0,0,0,Welterweight,KO/TKO  Punches,1.0,4:21,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Dominick Reyes,Jeremy Kimball,0,0,16,4,1,1,1,0,Light Heavyweight,SUB  Rear Naked Choke,1.0,3:39,win
"UFC 218: Holloway vs. Aldo 2  December 02, 2017",9e30f69cc0869301,Justin Willis,Allen Crowder,1,0,22,15,0,0,0,0,Heavyweight,KO/TKO  Punch,1.0,2:33,win
"The Ultimate Fighter: A New World Champion Finale  December 01, 2017",30e8b4505f5ccf92,Sean O'Malley,Terrion Ware,0,0,141,88,3,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"The Ultimate Fighter: A New World Champion Finale  December 01, 2017",30e8b4505f5ccf92,Gerald Meerschaert,Eric Spicely,1,0,36,17,0,1,0,1,Middleweight,KO/TKO  Kick,2.0,2:18,win
